fecha,periodo,naturaleza_finca,tipo_interes,tipo_hipotecario
2009-01-01,2009M01,Total fincas,Fijo,6.64
2009-01-01,2009M01,Total fincas,Total,5.36
2009-01-01,2009M01,Total fincas,Variable,5.31
2009-01-01,2009M01,Viviendas,Fijo,6.18
2009-01-01,2009M01,Viviendas,Total,5.4
2009-01-01,2009M01,Viviendas,Variable,5.38
2009-02-01,2009M02,Total fincas,Fijo,6.79
2009-02-01,2009M02,Total fincas,Total,5.17
2009-02-01,2009M02,Total fincas,Variable,5.1
2009-02-01,2009M02,Viviendas,Fijo,6.47
2009-02-01,2009M02,Viviendas,Total,5.2
2009-02-01,2009M02,Viviendas,Variable,5.17
2009-03-01,2009M03,Total fincas,Fijo,6.45
2009-03-01,2009M03,Total fincas,Total,4.85
2009-03-01,2009M03,Total fincas,Variable,4.78
2009-03-01,2009M03,Viviendas,Fijo,6.74
2009-03-01,2009M03,Viviendas,Total,4.89
2009-03-01,2009M03,Viviendas,Variable,4.84
2009-04-01,2009M04,Total fincas,Fijo,6.01
2009-04-01,2009M04,Total fincas,Total,4.38
2009-04-01,2009M04,Total fincas,Variable,4.3
2009-04-01,2009M04,Viviendas,Fijo,6.1
2009-04-01,2009M04,Viviendas,Total,4.5
2009-04-01,2009M04,Viviendas,Variable,4.47
2009-05-01,2009M05,Total fincas,Fijo,5.94
2009-05-01,2009M05,Total fincas,Total,4.29
2009-05-01,2009M05,Total fincas,Variable,4.22
2009-05-01,2009M05,Viviendas,Fijo,6.01
2009-05-01,2009M05,Viviendas,Total,4.38
2009-05-01,2009M05,Viviendas,Variable,4.33
2009-06-01,2009M06,Total fincas,Fijo,5.55
2009-06-01,2009M06,Total fincas,Total,4.26
2009-06-01,2009M06,Total fincas,Variable,4.19
2009-06-01,2009M06,Viviendas,Fijo,5.37
2009-06-01,2009M06,Viviendas,Total,4.22
2009-06-01,2009M06,Viviendas,Variable,4.19
2009-07-01,2009M07,Total fincas,Fijo,5.67
2009-07-01,2009M07,Total fincas,Total,4.12
2009-07-01,2009M07,Total fincas,Variable,4.04
2009-07-01,2009M07,Viviendas,Fijo,5.11
2009-07-01,2009M07,Viviendas,Total,4.05
2009-07-01,2009M07,Viviendas,Variable,4.02
2009-08-01,2009M08,Total fincas,Fijo,5.45
2009-08-01,2009M08,Total fincas,Total,3.97
2009-08-01,2009M08,Total fincas,Variable,3.89
2009-08-01,2009M08,Viviendas,Fijo,5.72
