"CóDIGO DE LA SERIE",D_1NBAA572,D_1NBAF472,D_1NBBDR72,D_1NBBDW72,D_1NBCEA72,D_1TI2THITA,D_1TI2TSINP,D_G2B1F0ZN,D_1NBAD472,D_1NBAE472,D_1NBBDU72,D_1NBCEB72,D_1TI2TSOTP,D_G2B1I0ZP,D_1TFK09A0_BCE,D_1NBBDV72,D_1TI2TSOTA,D_1NBAC372,D_1NBBDP72,D_1NBBDQ72,D_1NBBDS72,D_1NBBDT72,D_1NBBP572,D_1TI2THITP,D_1TI2TSINA,D_1NBAS372,D_1NBBO572,D_1TES00U7
"NúMERO SECUENCIAL",3775801,587853,997179,997178,4562347,902989,900037,2737985,587851,608361,997176,4562348,902999,2737987,4562352,997177,902992,2737991,997172,997173,997174,997175,586568,902995,900036,3975629,586564,2737984
"ALIAS DE LA SERIE","%BE_26_31.8, %BE_1_15.4","%IT_NA_APP.2, %IT_1_ASB.2, %IT_NA_TBL.1, %BE_19_1.5, %BE_1_15.9","%BE_1_15.17","%BE_1_15.14","%BE_1_15.2","%BE_2_10.3, %IT_NA_TBL.4, %IT_NA_APP.71","%IT_NA_GRA_1.2, %BE_2_10.5, %IT_NA_APP.72, %IT_NA_APP.73, %IT_NA_TBL.6","%BE_26_34.1, %BE_2_10.9","%BE_1_15.7","%BE_1_15.8","%IT_2_ASB.20, %BE_1_15.12","%BE_1_15.3","%BE_2_10.7","%BE_2_10.10","%BE_1_15.1, %BE_2_10.1, %BE_26_31.1","%BE_1_15.13","%BE_2_10.4, %IT_NA_TBL.5, %IT_NA_APP.70","%BE_1_15.6","%IT_2_ASB.6, %BE_1_15.15","%IT_2_ASB.14, %BE_1_15.16","%IT_2_ASB.16, %BE_1_15.10","%IT_2_ASB.18, %BE_1_15.11","%BE_26_33.2, %BE_1_15.18","%BE_2_10.6","%IT_NA_GRA_1.1, %BE_2_10.2, %IT_NA_APP.68, %IT_NA_APP.69","%BE_1_15.5","%BE_26_35.2, %BE_1_15.19","%BE_2_10.8"
"DESCRIPCIóN DE LA SERIE","Tipos de interés. UEM. Mercado monetario. ¤STR","Tipos de interés. UEM. Mercado monetario. Euríbor. A 12 meses","Economía internacional. UEM. Tipos de interés. Nuevas operaciones. IFM residentes en la UEM. Préstamos a 1 año a SNF","Economía internacional. UEM. Tipos de interés. Nuevas operaciones. IFM residentes en la UEM. Depósitos hasta 1 año de SNF","Tipos de interés. UEM. De operaciones de política monetaria. Facilidades permanentes. De crédito","Tipos de interés. Nuevas operaciones. Entidades de crédito y EFC. Préstamos y créditos a hogares e ISFLSH. Tipo sintético","Tipos de interés. Nuevas operaciones. Entidades de crédito y EFC. Depósitos de hogares e ISFLSH y SNF. Tipo sintético","Tipos de interés. Mercado secundario de valores. Bonos y obligaciones del Estado. A 3 años. Operaciones simples al contado","Tipos de interés. UEM. Mercado monetario. Euríbor. A 3 meses","Tipos de interés. UEM. Mercado monetario. Euríbor. A 6 meses","Economía internacional. UEM. Tipos de interés. Nuevas operaciones. IFM residentes en la UEM. Depósitos a más de 2 años de hogares","Tipos de interés. UEM. De operaciones de política monetaria. Facilidades permanentes. De depósito","Tipos de interés. Nuevas operaciones. Entidades de crédito y EFC. Depósitos de SNF. Tipo sintético","Tipos de interés. Mercado secundario de valores. Bonos y obligaciones del Estado. A 10 años (criterio de convergencia). Operaciones simples al contado","Tipos de interés. UEM. De operaciones política monetaria. Subastas. Operaciones principales de financiación","Economía internacional. UEM. Tipos de interés. Nuevas operaciones. IFM residentes en la UEM. Depósitos a la vista de SNF","Tipos de interés. Nuevas operaciones. Entidades de crédito y EFC. Préstamos y créditos a SNF. Tipo sintético","Tipos de interés. UEM. Mercado monetario. Euríbor. A 1 mes","Economía internacional. UEM. Tipos de interés. Nuevas operaciones. IFM residentes en la UEM. Créditos a hogares para el consumo","Economía internacional. UEM. Tipos de interés. Nuevas operaciones. IFM residentes en la UEM. Préstamos a hogares para adquisición de viviendas","Economía internacional. UEM. Tipos de interés. Nuevas operaciones. IFM residentes en la UEM. Depósitos a la vista de hogares","Economía internacional. UEM. Tipos de interés. Nuevas operaciones. IFM residentes en la UEM. Depósitos hasta 1 año de hogares","Economía internacional. UEM. Rendimiento de la deuda pública. A 3 años","Tipos de interés. Nuevas operaciones. Entidades de crédito y EFC. Depósitos de hogares e ISFLSH. Tipo sintético","Tipos de interés. Nuevas operaciones. Entidades de crédito y EFC. Préstamos y créditos a hogares e ISFLSH y SNF. Tipo sintético","Tipos de interés. UEM. Mercados monetarios. Depósitos. A 1 semana. Euríbor. Tipo de referencia oficial del mercado hipotecario","Economía internacional. UEM. Rendimiento de la deuda pública. A a 10 años","Tipos de interés. Mercado secundario de valores. Letras del tesoro. A 1 año. Operaciones simples al contado"
"DESCRIPCIóN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL"
"JUL 1987","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",15.13
"AGO 1987","_","_","_","_","_","_","_",13.87,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",14.80
"SEP 1987","_","_","_","_","_","_","_",13.82,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",14.91
"OCT 1987","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",13.94
"NOV 1987","_","_","_","_","_","_","_",13.52,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",12.98
