model,horizon_months,observations,mae,rmse,coverage_80,coverage_95,selected
naive,1,60,0.0665,0.09454275928559168,0.8833333333333333,0.9666666666666667,True
ets,1,60,0.06702228842035222,0.09625986500915272,0.85,0.9666666666666667,False
arima,1,60,0.06848364349953988,0.09723244676379131,0.8333333333333334,0.9666666666666667,False
arimax_euribor,1,60,0.07219148737246232,0.09982890054476116,0.7833333333333333,0.9833333333333333,False
ets,3,60,0.11472689512251169,0.16888413634790286,0.7833333333333333,0.9166666666666666,True
arima,3,60,0.11535149166619442,0.17434124934333772,0.7833333333333333,0.9166666666666666,False
arimax_euribor,3,60,0.13051376675553855,0.18411712460771876,0.7333333333333333,0.9,False
naive,3,60,0.13183333333333333,0.1914201312993664,0.85,0.9333333333333333,False
ets,6,60,0.18638654913033736,0.30203093746410276,0.7833333333333333,0.8833333333333333,True
arima,6,60,0.19268664134756355,0.3203458515649592,0.75,0.8666666666666667,False
arimax_euribor,6,60,0.21824703677644852,0.3359968519237741,0.7,0.8333333333333334,False
naive,6,60,0.22799999999999995,0.3376684764676738,0.8,0.8666666666666667,False
